[-4, -4, 3, 13, 3, -2, -33, -6]
[1, 0, -1, -17, -1, 2, 47, 6]
[3, 1, 9, 7, 8, 5, 8, 0]
[3, -2, -15, -39, -10, -4, -6, -2]
[2, -2, -15, 0, -2, 5, 54, 10]
[7, 2, 13, -5, -1, -2, -7, -1]
[-9, -2, 0, 36, 7, -5, -42, -5]
[3, -1, -8, -22, -8, -1, -27, -4]
[-3, 3, 3, 15, 6, -2, -24, -6]
[-2, 0, 1, -22, -14, -5, -25, -3]
[-2, 0, -7, 10, -1, -5, -27, -4]
[-1, 0, 9, 19, 13, 5, -2, -1]
[4, -3, -12, -23, -4, 0, 1, 4]
[0, 1, 0, -22, -14, -5, -5, -3]
[1, 5, 4, 14, -1, 0, 21, 3]
[0, -3, -6, -12, -3, -2, -17, -1]
[-3, -1, 2, 2, 2, 2, 8, 1]
[-3, -4, -10, 11, 4, -5, -18, -5]
[1, 3, 1, 29, 15, 5, 10, 4]
[-6, -4, 0, -1, -4, -2, -7, -3]
[-1, 0, 10, 30, 8, 3, -2, 2]
[-5, -1, -5, -5, -3, -4, -12, -4]
[2, 0, -6, -17, -6, 5, 39, 8]
[-1, 3, 0, 11, 10, 0, -3, -3]
[2, -2, 0, -17, -9, -4, -8, -5]
[-3, -5, -4, -5, -1, 2, 42, 7]
[6, 1, -2, -15, -13, 6, 53, 17]
[-1, 2, 17, 7, 0, -6, -32, -7]
[2, 0, -6, -2, -2, 3, 39, 5]
[-3, -2, -6, 2, 4, -2, -32, -7]
[-3, 0, 3, 10, 2, -4, -12, -4]
[-3, -4, -11, 16, 2, 3, 21, 6]
[2, 3, 11, -9, -11, -5, -19, -5]
[-3, 1, 1, -4, -2, 3, 9, 3]
[2, 0, 1, 5, 1, 1, 14, 1]
[-1, 2, 1, 8, -1, -2, -24, -3]
[-5, -2, -6, 11, 4, -4, -19, -5]
[-1, -2, 0, 12, 9, -1, -8, -3]
[-1, -1, 2, -11, 0, 0, -20, 0]
[-4, -2, 2, -6, -3, -2, -15, -5]
[-3, -2, -5, -16, -2, 1, 4, 3]
[1, 3, 17, -3, 0, 0, 4, -1]
[5, 2, 2, 38, 20, 7, 21, 7]
[0, -2, -1, -17, -8, 0, 5, -2]
[-9, -3, -8, -21, -7, -2, 0, 0]
[-14, -3, -6, -46, -11, -5, -11, -6]
[3, 1, -1, 18, 2, -4, -4, 1]
[-3, 2, 1, -41, -23, -1, -8, 0]
[-7, -4, -3, 17, 6, -5, -50, -10]
[-9, 0, 3, -2, 4, -1, -14, -5]
[-3, -7, -6, -7, -7, 1, 25, 1]
[6, 5, 4, 14, 8, 3, 20, 5]
[-6, -15, -7, 1, -6, -3, -23, -6]
[3, 4, 4, -6, -9, -2, -1, -1]
[-11, 1, 0, 16, -1, 3, -4, 2]
[7, 2, -4, -11, -5, 2, 22, 8]
