[-3, -3, -5, -4, 1, -1, -3, -3]
[-4, -1, 1, -3, 2, 2, 0, -3]
[-6, -8, 1, 7, -7, -9, -9, -1]
[2, -2, 6, 8, -2, 0, 0, -1]
[-2, -5, 5, -12, -6, 0, -2, -3]
[-4, -8, -23, -15, -8, -3, -5, -1]
[-10, 0, -11, -51, -2, -2, -5, -4]
[-4, -2, 3, 1, -13, -13, -8, -2]
[-4, -4, 4, 0, 2, 3, 3, 3]
[-3, -4, 8, 0, 1, 0, 0, 0]
[1, -2, 23, 21, 2, 1, 1, 0]
[-4, -6, -9, 1, -12, -4, -6, -6]
[5, 0, 8, -1, 4, 7, 4, 0]
[-4, -8, -11, 16, -5, -5, -11, -1]
[-3, -3, 7, -19, -6, -5, -8, -6]
[3, 11, -2, 9, 5, 3, 8, 1]
[-3, 0, -13, 65, -2, -1, -11, -5]
[-2, -4, 15, -1, -19, -17, -19, -6]
[-5, 0, -3, 3, -10, 7, 14, 3]
[-1, -19, -29, 14, -36, 8, 29, 3]
[-58, -19, -26, 118, -11, -3, -39, -25]
[-12, 8, -11, -75, 18, 5, -15, -16]
[-5, -6, 31, 10, 3, 12, 4, 5]
[50, 13, 61, 116, 19, 34, 44, 8]
[61, 6, -4, -43, -1, 8, 29, 23]
[-10, 2, -25, 1, -35, -44, -10, -3]
[-37, -2, -14, -17, 13, 2, 16, -8]
[4, -3, -17, -108, -10, -35, -23, 10]
[0, 0, 7, -7, -15, -2, 10, 0]
[51, 5, -5, 22, 13, 16, 32, 10]
[-4, -3, 17, -7, 21, 23, 12, 1]
[-6, -1, 15, 29, 11, 4, -2, -1]
[-6, 2, -13, -15, -13, -15, -10, -1]
[5, -5, -8, -2, -6, 5, 6, 0]
[-3, -3, 0, -3, -6, -10, -5, -3]
[9, 7, 10, -12, 2, -5, 7, 1]
[-1, -1, -48, -16, 7, 7, 0, -3]
[0, -3, -19, 5, -3, -2, 3, 4]
