[4, -1, 16, 19, -4, -11, -1, 0]
[9, 1, -6, 14, 5, 12, 5, 0]
[20, -1, 0, -8, 1, 1, -10, 3]
[-1, -3, -4, -16, -2, 3, 6, -3]
[-4, -3, -24, -24, -2, 0, -1, -1]
[37, 1, -6, -13, 0, 0, 5, -3]
[19, 1, 5, 19, -2, -4, -24, 5]
[48, 1, 9, 22, -1, 6, 1, 2]
[-21, -2, 3, 5, -1, -5, -13, 52]
[12, -1, -6, -2, 3, -1, 1, -26]
[-26, -5, 1, 8, -4, -2, 16, -2]
[-15, 0, 5, 8, 1, 0, 3, -31]
[11, -1, 0, 3, 5, 1, -10, -21]
[25, 1, 0, 2, -2, -8, -30, 20]
[-9, -2, -1, 2, 1, 0, 2, 5]
[14, 0, 1, 3, 6, 0, 21, -20]
[-25, -1, 2, 0, 0, 5, -1, -17]
[-2, -4, -7, -2, -3, 0, 9, -7]
[4, 3, 6, -1, -2, -2, -3, 3]
[-7, 2, 8, 3, 1, 1, 8, 1]
[-5, -6, -4, -6, 13, 0, 4, 3]
[-3, 3, -1, 5, -4, -1, 2, -5]
[5, 10, 8, 8, -31, -9, -5, -3]
[1, 5, 2, -11, 2, -1, -3, -1]
[-1, -2, -18, 5, -24, -13, -3, -3]
[-2, -2, 3, 1, -6, -1, -2, -1]
[0, -11, -39, 0, 5, -2, -2, -3]
[-1, -3, 13, -2, 5, 4, 1, 0]
[-1, -4, 6, 2, -5, -2, 1, -2]
[0, 5, 30, -9, -6, 5, 0, -1]
[-2, -10, -3, -14, -5, 1, 2, 0]
[1, 1, 10, 4, -44, -12, -3, -3]
[-1, 7, 23, 10, -27, -13, -6, -3]
[1, -1, -55, 101, 64, 26, 10, 5]
[9, 19, 62, -120, 21, -5, -7, 1]
[-8, -16, -73, -10, -4, -8, -7, -5]
[14, 25, 63, 3, 37, 17, 7, 9]
[4, -6, -43, -19, -6, 3, 5, 2]
[12, 12, 73, 52, 6, 9, 5, 4]
[7, 5, 77, 56, 3, -6, -5, -4]
[-105, -44, -89, 85, -12, -21, -14, -39]
[25, -21, 7, -63, 5, -4, -2, 6]
[34, -25, -124, 93, -15, -5, -6, -1]
[42, 11, 56, -84, -12, -4, -2, -3]
[-4, -1, 43, 75, 55, 19, 1, 1]
[-67, 9, -24, -76, -16, 3, 4, 3]
[-45, 4, 41, 93, -6, -1, 5, 2]
[1, -8, -12, 74, -5, 6, 6, 15]
[6, 13, -3, -85, 1, 0, 6, 5]
[44, 10, 40, 7, -10, -4, 1, 9]
[16, 5, -13, 0, 8, 0, 1, 2]
[-3, 5, 79, -5, 17, 5, -3, -3]
[-5, 5, -21, -101, -14, -3, -2, -3]
[16, -3, -73, 79, -9, -7, -2, -1]
[3, 2, -17, 16, 15, 4, -4, -4]
[-51, -4, -15, -14, 6, 0, -4, -5]
[-45, -7, 18, -70, -5, -11, -7, -8]
[25, 0, 8, -1, -1, 3, 4, 5]
[-5, -5, 11, -7, -5, -5, -1, -9]
[27, 4, 25, -14, 2, -1, 2, 1]
[5, 3, 5, -11, 4, 2, 4, 6]
[-6, 0, 9, 21, 0, 0, -8, 5]
[-67, -6, 1, 8, -5, -4, 6, -11]
[8, 0, -3, -17, 5, -2, -1, 3]
[16, 1, 3, 14, 3, 2, -7, 20]
[1, 1, -1, 2, 1, -1, -16, -5]
[73, 4, 2, -3, 1, 4, 5, 2]
[-24, 5, 3, 1, 2, 6, -10, 9]
[-5, -1, 0, 13, -2, -1, -3, -2]
[27, -3, -4, -2, -1, -2, -8, 22]
[12, -4, -6, -15, -7, -5, 6, -3]
[-13, -1, 4, 2, 2, -6, -27, 9]
[24, 3, 1, 3, -3, -1, -11, 3]
[57, -4, 1, -3, 3, 6, 39, 18]
[5, 8, 4, 2, 1, 2, 4, -6]
